,print_key
276.00-01-34.000,4
216.00-01-19.211,4
127.-2-1.3,4
113.048-2-2,4
37.71-1-4,4
284.15-1-11,4
290.00-01-03.171,4
308.5-1-77.11,4
53.000-1-12,4
272.52-1-11,4
339.008-3-13,4
115.-1-16,4
153.15-1-24,4
218.12-1-59.1,4
89.000-3-3,4
256.13-1-16,4
243.-1-20,4
115.13-4-46,4
255.-1-28,4
167.-1-37.1,4
73.17-1-30,4
258.16-2-4,4
273.11-1-55,4
339.012-2-74,4
318.39-1-63,4
279.000-2-15,4
45.-1-9,4
288.34-3-216,4
50.1-1-2,4
124.3-3-6,4
212.12-01-29.000,4
301.13-1-39,4
100.51-1-36,4
232.-4-35,4
38.-1-28,4
279.45-1-205,4
9.073-7-20.1,4
101.-2-49.2,4
259.13-4-5,4
264.-1-17,4
190.8-2-9,4
446.67-5-12,4
142.13-1-9,4
257.-5-55,4
340.00-01-09.600,4
265.16-2-46,4
234.-3-10,4
277.000-1-11.1,4
239.16-2-64,4
273.11-1-13,4
88.-1-4,4
157.13-1-7.1,4
391.00-01-28.100,4
302.11-7-13,4
78.-1-40.212,4
119.52-1-5,4
76.002-1-11.31,4
206.-1-49,4
112.57-1-6,4
402.00-01-15.211,4
59.016-3-33.113,4
229.81-1-33,4
264.-1-11,4
135.-1-7,4
192.36-1-14,4
115.17-1-30,4
229.000-1-61,4
154.10-5-26,4
166.69-5-7,4
134.009-1-7,4
195.000-1-1.6,4
16.-1-9,4
10.000-1-5.1,4
83.24-1-9,4
301.20-3-4,4
200.14-1-20,4
67.000-3-23,4
163.-3-8,4
95.-2-7,4
249.-1-12,4
190.12-5-30,4
279.17-1-1.2,4
239.16-2-62,4
317.005-3-50,4
248.-1-18,4
241.-1-17.1,4
127.3-4-15,4
399.00-01-08.200,4
11.17-1-92.110,4
88.051-5-12,4
182.18-1-13,4
269.-1-18,4
103.-1-10,4
87.000-1-14,4
231.-1-5,4
270.20-3-38,4
290.14-1-32,4
195.-1-2,4
190.00-02-02.210,4
239.16-2-66,4
193.20-1-6.1,4
239.-2-7.1,4
206.-1-13.31,4
107.12-1-24.000,4
276.11-2-54,4
259.6-2-44,4
186.-1-13,4
249.43-1-56,4
238.16-1-47,4
165.59-7-6,4
369.000-1-15.1,4
117.-1-34,4
249.43-1-45,4
276.10-1-3,4
153.-1-10.200,4
223.012-0005-018,4
20.10-1-14,4
229.7-3-3,4
224.-2-7,4
177.20-1-10,4
168.-2-56,4
276.12-1-9,4
114.20-1-40,4
165.51-2-68,4
168.-1-18.3,4
073.3-1-80.1,4
170.38-1-18,4
229.-1-10.2,4
265.13-3-17,4
228.16-1-31,4
127.20-5-9,4
094.1-1-11.1,4
272.00-01-03.000,4
374.000-1-15,4
84.-1-8,4
179.76-1-15,4
011.00-04-01.112,4
286.-1-9,4
223.005-0002-012.003,4
167.-1-24.111,4
261.-1-77.1,4
147.000-1-49,4
80.-1-12,4
251.05-1-21,4
289.37-2-40,4
115.-1-24.1,4
165.60-3-2,4
262.45-5-55,4
71.001-3-18,4
112.-4-16,4
189.16-2-19,4
87.000-1-4.1,4
54.002-5-11,4
173.004-10-2.112,4
188.-1-16.4,4
180.10-3-1.1,4
114.68-6-14,4
165.84-2-84,4
309.7-12-1,4
261.44-2-16.2,4
177.-1-8.2,4
114.68-6-43,4
122.-1-35,4
154.15-2-7,4
203.9-3-48,4
272.52-1-1,3
230.12-5-22,3
178.-2-5.100,3
289.5-6-18,3
117.20-1-33.100,3
45.-1-26.1,3
123.11-01-05.000,3
303.13-21-13,3
292.017-2-40,3
88.035-5-16,3
277.11-2-18,3
272.-1-27.2,3
164.-2-2,3
9.049-3-4,3
302.000-2-41,3
307.005-4-55,3
269.-1-27,3
252.-1-21,3
272.8-2-12,3
19.003-1-15,3
318.63-1-54,3
259.18-3-21,3
288.6-1-19,3
120.24-3-55,3
56.-13-1.500,3
279.17-1-25,3
284.15-1-7,3
258.8-1-21,3
259.9-2-11,3
266.3-1-2,3
221.-1-9.1,3
291.63-2-41,3
309.13-2-31.111,3
303.5-1-48,3
258.002-0002-012,3
097.03-01-03.110,3
330.9-3-43,3
302.8-1-25,3
291.54-1-16,3
277.9-2-25,3
51.000-3-2,3
296.69-1-32,3
284.15-1-10,3
097.03-02-06.100,3
250.34-1-47,3
163.-1-16.141,3
250.41-2-19,3
309.16-17-6,3
274.000-1-41.1,3
44.-1-1,3
219.2-1-39,3
305.014-4-16,3
278.18-5-42,3
303.13-17-1,3
35.002-2-56,3
223.011-0001-012,3
275.-1-40.1,3
259.14-3-24,3
271.68-1-414,3
318.55-1-58,3
230.12-3-16,3
60.-2-6,3
276.7-2-6,3
269.-2-72,3
252.20-2-5.1,3
301.12-3-44,3
127.2-1-11.200,3
309.28-4-3,3
305.009-4-79,3
230.12-4-11.1,3
242.066-0002-014,3
302.16-17-24,3
9.050-1-8,3
208.-1-13.12,3
309.7-12-33,3
067.00-01-31.000,3
329.12-4-12,3
308.10-2-8,3
265.17-2-21,3
289.30-1-9,3
309.15-11-8,3
276.12-1-20,3
137.-1-31.000,3
260.-2-16.22,3
302.20-20-4,3
242.005-0002-073,3
223.016-0003-026,3
314.000-1-13,3
272.17-1-41.1,3
209.000-2-21.2,3
266.8-3-6,3
88.042-7-4,3
231.-1-24.2,3
308.7-1-11,3
242.050-0001-021,3
315.018-2-14.2,3
302.8-1-61,3
18.001-2-34.1,3
308.18-2-29.1,3
266.11-2-27,3
260.19-2-11,3
89.-1-1.500,3
266.7-1-1,3
11.-2-9,3
289.000-2-20,3
259.10-4-34,3
273.16-1-62,3
208.000-2-19.1,3
302.15-14-29,3
233.-1-35,3
31.-1-10,3
19.003-1-9.111,3
265.6-2-2,3
308.7-1-59,3
279.54-1-106,3
314.000-1-56.1,3
288.34-3-210,3
9.074-6-8,3
276.7-1-6,3
308.10-1-65,3
291.007-2-54,3
305.010-2-57,3
283.8-4-27,3
078.2-1-56.4,3
9.059-12-25,3
289.37-1-35,3
105.3-1-40,3
153.-1-9.1,3
309.12-7-25,3
157.5-1-1.000,3
064.11-1-37,3
226.000-1-25.1,3
296.9-2-26,3
226.003-1-46,3
220.-1-46,3
223.018-0003-007,3
98.033-2-6.2,3
25.000-1-8.2,3
165.74-2-52,3
337.019-2-11,3
70.003-2-27.21,3
229.12-1-29,3
70.003-2-45,3
216.-1-60,3
48.004-3-3,3
104.7-1-8,3
84.076-1-4,3
229.-1-2,3
244.9-2-52.111,3
253.34-3-17,3
253.27-1-47,3
239.15-1-3,3
168.-1-2.2,3
205.-3-11.3,3
103.2-1-14.5,3
154.000-1-6.1,3
229.60-2-27,3
229.82-1-19,3
102.2-1-59.1,3
244.9-3-6,3
218.13-1-32,3
302.19-25-4,3
239.34-1-21,3
58.081-6-6,3
17.32-5-13.000,3
173.000-1-29.4,3
271.68-1-422,3
097.3-3-5,3
236.-1-75,3
245.-1-12.1,3
253.26-1-30,3
16.071-1-4,3
211.9-4-3,3
220.-6-2.33,3
211.9-4-22,3
229.68-3-29,3
246.-3-100.1,3
169.4-1-4,3
243.84-1-20,3
7.71-2-8.000,3
46.-1-20,3
337.015-2-7,3
105.3-1-74.1,3
172.000-1-14.1,3
134.18-1-6.2,3
347.007-1-8,3
134.4-1-54,3
337.019-4-12.2,3
241.-1-25,3
104.11-1-38,3
327.000-1-21,3
243.12-2-2,3
48.071-8-5,3
347.006-2-24,3
244.53-1-9,3
102.4-2-55,3
230.6-2-24,3
209.-1-30,3
216.000-2-28,3
240.8-2-12,3
228.5-1-33,3
229.-1-7,3
182.-2-6.121,3
209.-1-24,3
60.13-1-11,3
60.9-1-11,3
137.-1-55.1,3
72.13-2-9.112,3
236.007-1-26,3
293.4-2-11,3
13.4-1-28.971,3
088.51-1-10,3
122.-1-33,3
22.017-2-24,3
327.003-2-17,3
229.7-3-35,3
088.44-1-15.1,3
179.-4-3,3
72.-1-9,3
71.-1-27,3
201.-1-20,3
13.65-1-15.000,3
206.6-2-34,3
315.019-2-33,3
201.-1-9,3
318.24-2-5,3
315.015-1-1.1,3
239.11-2-39,3
27.1-3-16.000,3
168.7-1-6,3
102.2-1-16.2,3
102.1-1-17.3,3
337.016-1-19,3
291.7-1-22,3
234.008-1-12,3
6.13-11-7,3
318.30-3-31,3
6.-1-6.800,3
182.000-1-23.1,3
216.-1-12,3
068.-1-2,3
229.82-1-21,3
327.007-1-27,3
66.003-2-10,3
250.14-1-23,3
27.1-2-24.100,3
228.6-2-10,3
165.65-2-21,3
35.-1-23,3
179.-4-2.1,3
248.-2-23,3
27.2-2-31.200,3
95.000-3-15.1,3
78.004-5-9.3,3
17.32-2-2.000,3
25.-1-49.112,3
153.26-1-5,3
041.59-1-14,3
303.20-2-28,3
83.056-2-3,3
252.20-2-6.1,3
230.39-1-47,3
230.46-1-25,3
4.000-1-14,3
308.14-1-16,3
253.17-3-31,3
265.-1-1.2,3
17.003-3-12,3
288.000-1-8,3
262.45-3-15,3
315.7-2-7,3
243.82-1-33,3
341.-1-12,3
218.19-1-52,3
230.-1-6,3
236.-1-127.2,3
69.000-1-34.2,3
309.10-1-60,3
308.12-2-6,3
230.46-1-69,3
177.-2-9.1,3
247.17-1-20,3
301.000-2-23,3
039.-1-2.5,3
178.-1-2.3,3
70.003-1-1.2,3
68.000-2-37.1,3
337.019-4-3,3
136.-2-6.300,3
318.39-2-64,3
10.024-4-3,3
219.21-1-51,3
192.4-3-10,3
27.3-1-48.100,3
5.004-2-15.11,3
10.001-8-2,3
253.24-2-13,3
85.001-3-5,3
17.001-1-21.2,3
208.-1-9.4,3
208.-1-7,3
112.82-1-55,3
265.6-3-8,3
219.-1-7,3
8.003-2-55,3
83.048-2-9,3
242.034-0001-044,3
295.19-3-2,3
250.34-4-12,3
301.6-1-29,3
289.37-1-9,3
223.010-0002-032,3
125.1-1-2,3
299.-1-6,3
114.76-2-25,3
261.2-1-2.112,3
27.18-5-9,3
85.004-1-45,3
202.5-2-23,3
59.030-1-5,3
167.4-3-20,3
230.-2-30.200,3
255.8-1-11,3
260.-2-6,3
178.44-3-200,3
041.44-1-36,3
113.-1-14,3
219.21-1-27,3
18.-2-23,3
230.27-2-40.1,3
209.-1-44.3,3
246.20-1-29,3
219.-1-92.14,3
226.-1-40.12,3
163.-1-3,3
36.003-3-16,3
041.2-2-30,3
32.058-1-10,3
179.-3-18.32,3
179.29-2-1,3
337.015-2-36,3
229.-1-4.100,3
246.12-1-1,3
40.73-2-8.000,3
219.21-1-50,3
288.000-1-40.1,3
204.-4-8,3
301.000-1-40.3,3
329.11-3-40,3
164.-2-10.14,3
234.-1-7.2,3
333.-2-9.11,3
249.20-3-15,3
313.000-1-30.1,3
219.9-1-18,3
23.060-1-10,3
167.-1-18.18,3
86.000-3-1,3
48.079-7-38,3
307.20-1-15,3
041.73-3-20,3
250.13-4-10,3
253.23-1-2,3
253.17-2-20,3
177.-4-24,3
246.-1-21.300,3
233.-1-67,3
244.-1-15,3
246.-1-35,3
229.-1-27.1,3
177.-2-18.311,3
191.-1-2.2,3
229.-5-12,3
12.-1-5.2,3
291.71-5-8,3
263.11-1-3,3
271.9-1-44,3
167.-4-9,3
188.-1-9,3
174.001-4-11,3
127.12-4-19,3
150.43-16-2.000,3
315.000-2-22.2,3
204.-2-8,3
251.06-1-86,3
87.004-1-18,3
16.-1-45,3
231.01-02-06.110,3
304.000-1-83,3
53.-2-7,3
316.016-1-2,3
173.032-5-10,3
279.46-1-215,3
142.13-1-10,3
259.9-3-11,3
127.15-2-13,3
277.20-3-42,3
196.00-03-14.314,3
127.20-2-41,3
271.10-1-27,3
166.-3-2,3
127.8-1-29,3
258.20-2-11,3
261.20-2-54.2,3
288.12-2-15,3
284.17-5-15,3
243.009-0001-063,3
209.-1-10,3
225.20-1-44,3
060.00-01-02.000,3
150.43-1-12.200,3
73.004-1-17,3
259.7-1-17,3
114.11-1-12.1,3
140.-1-26,3
33.010-1-13,3
378.00-01-04.000,3
278.75-1-36,3
128.5-1-12.2,3
277.03-1-34,3
272.-1-16.1,3
260.19-2-20,3
377.00-01-24.700,3
187.001-2-23,3
75.003-1-38,3
279.17-1-37,3
265.12-3-5,3
244.003-0003-012,3
284.4-2-6,3
260.19-2-48,3
182.-2-2.6,3
236.-1-10,3
238.16-1-5,3
258.20-2-9,3
303.18-10-18,3
216.-1-43,3
223.020-0006-052,3
15.000-1-55.5,3
264.08-2-6,3
140.10-1-53,3
32.000-1-45.1,3
60.5-1-14,3
85.001-1-22,3
160.001-1-29,3
302.12-27-1,3
367.1-2-20.100,3
114.15-1-17,3
74.002-1-28.112,3
20.10-1-63,3
72.13-2-50,3
305.017-4-16,3
303.9-7-24,3
140.14-3-2,3
140.18-2-6,3
259.14-2-9.1,3
41.000-1-5.1,3
406.00-01-15.100,3
150.11-1-47.000,3
114.20-1-29,3
400.000-1-33,3
372.00-01-05.000,3
224.017-0003-073,3
277.8-2-12,3
303.18-12-13,3
102.-1-112,3
271.68-1-233,3
277.11-3-44,3
223.009-0001-019,3
265.16-2-55,3
243.009-0001-027,3
259.10-1-32,3
259.17-4-10,3
213.00-02-21.000,3
303.9-8-10.1,3
173.025-4-2,3
150.75-3-1.200,3
199.00-01-08.000,3
265.6-1-17,3
279.46-1-225,3
261.10-1-45,3
289.22-1-6,3
173.024-1-21,3
173.039-4-20,3
150.83-2-1.300,3
279.47-3-14,3
102.001-1-11.1,3
243.010-0001-025,3
140.6-3-10,3
271.15-1-2,3
189.-3-19,3
102.002-2-11,3
291.016-1-40,3
33.-1-16.4,3
321.06-01-04.000,3
183.16-2-1,3
139.2-2-29.000,3
265.5-2-13,3
249.20-3-7,3
264.04-1-44.1,3
272.52-1-9,3
131.-1-1,3
114.15-1-10,3
140.00-3-10,3
309.15-2-8,3
307.14-5-21,3
194.-4-4,3
218.-1-71.600,3
145.003-2-8.11,3
171.15-1-74.3,3
171.16-1-138,3
156.00-1-67,3
277.7-4-25,3
114.20-2-72,3
289.38-1-19,3
278.12-1-21,3
186.-1-29.100,3
307.14-5-50,3
279.45-1-207,3
115.13-4-19,3
194.2-1-28.42,3
309.16-13-3,3
242.005-0002-027,3
127.16-1-11,3
243.009-0005-002,3
316.008-2-25,3
304.016-1-41,3
194.-3-7,3
104.3-4-5,3
185.000-2-8.1,3
277.17-2-13,3
276.-1-33,3
127.12-4-27,3
279.54-1-216,3
105.079-2-19,3
258.19-1-3,3
261.14-3-11,3
224.017-0001-126,3
278.6-1-22,3
278.12-1-6,3
105.062-1-4.1,3
202.76-2-7,3
302.11-6-32,3
279.46-3-207,3
272.52-1-2,3
259.18-5-42,3
187.-3-26,3
224.017-0004-048,3
223.014-0002-076,3
140.12-1-47,3
114.-2-41.100,3
204.-5-6,3
302.20-10-6,3
223.014-0004-002,3
266.12-1-5,3
272.60-1-25,3
157.05-1-6.1,3
214.042-1-12,3
117.-1-21,3
128.5-3-12,3
218.-1-71.100,3
317.009-3-64,3
243.009-0004-003,3
279.14-1-1,3
390.000-1-4.1,3
317.005-4-40,3
277.00-01-07.100,3
309.15-16-24,3
225.16-1-10,3
223.016-0001-001,3
224.046-2-8.2,3
115.13-3-10,3
283.19-2-32,3
224.046-5-1,3
036.00-01-09.000,3
284.15-1-20,3
019.05-01-62.110,3
331.31-2-66,3
258.-1-61,3
304.020-2-46.7,3
202.000-3-23,3
225.16-1-1.32,3
227.-1-16.13,3
225.16-1-1.31,3
330.9-2-55,3
87.004-1-4.2,3
238.16-1-11.2,3
272.60-1-22,3
283.20-2-7,3
114.20-1-39,3
89.003-1-50.1,3
140.-2-36,3
309.12-5-8,3
203.000-0001-027.005,3
171.16-1-131,3
272.60-1-6.1,3
212.11-03-28.000,3
272.60-1-23,3
171.18-1-7,3
263.-1-41,3
212.06-01-09.000,3
242.014-0002-022.001,3
157.05-1-88.21,3
302.12-3-34,3
150.83-1-7.000,3
279.11-1-21,3
249.-2-1,3
200.14-1-23,3
251.18-4-26,3
407.00-01-06.000,3
129.-1-92,3
251.18-2-21,3
251.18-2-61,3
264.06-2-34,3
409.00-01-03.111,3
259.-2-32,3
251.10-3-43,3
50.2-3-7.100,3
410.00-01-15.000,3
93.-1-19,3
226.17-1-47,3
272.10-3-4.3,3
277.00-02-09.100,3
205.1-1-18.24,3
163.00-02-04.000,3
291.56-2-6,3
289.14-1-26,3
88.035-3-3,3
317.16-2-36,3
98.-1-21,3
242.006-0004-048,3
318.73-4-39,3
271.68-1-127,3
203.-2-9.1,3
8.062-1-57,3
61.13-9-16,3
300.16-1-6,3
265.-2-76.4,3
223.012-0003-060,3
296.16-1-8,3
292.00-02-58.000,3
305.005-2-9,3
305.010-1-70,3
61.13-4-8,3
266.11-1-26,3
261.-2-7,3
246.00-01-22.112,3
89.004-2-18,3
292.00-01-17.200,3
275.00-01-26.119,3
284.17-4-11,3
301.5-1-23,3
265.65-1-6,3
203.-1-2,3
191.00-03-06.000,3
271.10-1-50,3
295.7-1-24,3
88.035-7-16,3
284.5-2-19,3
302.18-1-9,3
276.-1-47.2,3
44.-1-15,3
284.77-1-54,3
309.11-12-6,3
402.00-01-07.120,3
296.74-1-2,3
272.10-3-8.3,3
277.5-5-6,3
9.057-4-14,3
9.8-1-4.111,3
4.38-4-12.100,3
270.12-1-3,3
318.005-9-37,3
72.-1-7,3
301.19-1-3,3
290.-1-82.5,3
271.17-4-7,3
266.-2-13.112,3
206.-1-35,3
289.11-1-50,3
265.16-4-42,3
308.18-2-31,3
272.52-1-13,3
302.46-1-69,3
296.74-1-45,3
124.-3-5,3
295.15-1-6,3
279.37-2-105,3
276.12-3-2,3
305.009-1-23,3
4.3-1-27.110,3
271.-3-79,3
291.6-1-4,3
301.-3-3,3
263.-2-6,3
222.016-0001-025,3
302.15-6-10,3
277.16-2-13,3
302.12-21-17,3
40.001-3-3.12,3
035.00-03-01.200,3
295.8-3-44,3
296.-2-2.4,3
012.09-01-14.100,3
288.34-1-213,3
295.000-1-52.2,3
9.050-3-12,3
153.7-1-30,3
291.70-2-14,3
309.5-1-35,3
308.12-1-33,3
284.15-1-21,3
297.13-1-3,3
141.-1-12.1,3
272.8-2-2,3
305.009-3-58,3
4.3-1-35.511,3
295.7-1-28,3
249.43-2-10,3
043.00-02-06.000,3
115.17-2-11,3
142.004-2-7.12,3
290.6-1-65.2,3
292.017-2-2,3
329.12-5-5,3
288.8-1-44,3
88.042-5-5,3
301.8-2-80,3
291.17-1-67,3
278.5-1-12,3
278.-2-65.11,3
302.16-11-18,3
277.14-4-10,3
284.15-1-16,3
285.18-2-5,3
233.-1-15,3
275.-1-14,3
305.011-1-19,3
309.12-12-36,3
272.52-1-12,3
279.17-1-1.1,3
279.17-1-1.3,3
27.3-1-60.200,3
206.-1-7,3
308.7-1-49,3
270.12-3-24,3
41.062-1-17,3
9.073-7-13,3
317.008-4-21,3
289.29-1-38,3
140.15-2-1,3
147.005-3-17,3
339.01-03-08.000,3
117.-1-1,3
160.1-1-6.029,3
127.8-1-13,3
278.10-3-21,3
35.003-5-14,3
276.7-1-30,3
100.-2-55,3
270.19-1-4,3
48.-1-3.7,3
18.-1-11.1,3
284.15-1-6,3
117.-1-60.3,3
284.15-1-9,3
128.9-1-17,3
154.-3-4,3
285.21-1-9,3
266.14-2-2,3
100.-3-19,3
128.5-3-21,3
302.20-2-17,3
128.17-1-8,3
128.013-2-58,3
303.13-11-1,3
259.15-2-22,3
309.15-15-2.12,3
68.003-3-5.1,3
317.010-3-34,3
303.17-1-21,3
317.006-2-13,3
224.013-0001-007,3
367.3-1-11,3
164.-1-16,3
242.034-0002-006,3
111.004-1-9.1,3
100.-3-20,3
309.16-6-28,3
302.12-10-10,3
116.-1-27,3
302.20-6-24,3
128.20-02-08.111,3
276.7-1-39,3
278.4-1-1.3,3
258.20-2-10,3
265.20-1-23,3
272.2-5-8,3
209.-1-7,3
279.47-2-10,3
253.00-02-15.000,3
67.-1-5,3
277.14-4-18,3
49.4-1-12,3
288.8-3-9,3
202.-1-48,3
154.16-1-8,3
88.043-5-11,3
114.20-1-41,3
279.11-1-1,3
150.27-3-3.200,3
9.073-4-6,3
223.015-0001-028,3
142.-1-52,3
128.000-1-5,3
259.18-4-19,3
276.11-1-18,3
1.4-1-3.000,3
61.002-1-7.22,3
154.-2-47.2,3
140.10-1-22,3
301.19-2-43,3
224.017-0002-004,3
128.13-4-3,3
270.8-4-7.1,3
212.07-06-10.000,3
272.52-1-3,3
303.13-19-2,3
127.000-1-16.1,3
258.12-2-5,3
309.15-9-15,3
296.18-1-35,3
290.-1-82.10,3
302.11-6-5,3
295.18-1-21,3
277.20-4-27,3
302.54-1-60,3
9.073-5-3.11,3
302.14-3-42,3
258.5-1-73.1,3
38.056-1-12,3
129.000-1-11.10,3
48.004-1-22,3
20.6-1-23,3
305.7-1-4,3
259.15-1-26,3
285.-1-4,3
269.20-1-3,3
277.9-3-23,3
128.017-3-50,3
128.017-4-19,3
60.002-3-3,3
161.00-02-04.000,3
195.00-02-18.100,3
195.00-01-34.100,3
292.12-1-22.2,3
195.00-01-63.120,3
302.19-17-17,3
101.20-1-7,3
188.-1-6,3
20.10-1-16,3
115.17-6-6,3
50.-1-8,3
303.13-3-10.1,3
261.10-4-28,3
289.-1-15,3
271.68-1-231,3
308.6-1-30,3
266.3-1-16,3
272.8-3-34,3
297.6-1-15,3
347.001-1-51.1,3
150.-2-76,3
53.-1-10,3
339.011-1-9,3
177.20-6-4,3
154.6-3-15,3
318.29-1-24,3
26.-1-15,3
190.12-1-23,3
165.14-3-9,3
154.6-7-10,3
165.59-6-17,3
268.37-1-62,3
189.15-2-4,3
307.14-2-14,3
154.-2-17,3
154.14-6-1,3
98.75-5-4,3
177.7-1-14,3
338.008-1-7,3
302.000-1-73.1,3
221.8-7-204,3
224.1-3-20.100,3
59.012-2-82,3
154.14-8-47,3
154.11-3-15,3
329.013-2-38,3
221.7-1-1.1,3
81.18-1-26,3
49.10-1-8,3
166.25-1-21,3
167.-6-6,3
307.9-3-66,3
115.62-1-69,3
180.6-1-4,3
163.5-1-29,3
339.008-3-31,3
330.29-2-8,3
229.7-2-51,3
250.14-4-17,3
250.-1-38.1,3
221.8-7-103,3
42.18-1-9.000,3
33.72-6-8.000,3
255.-1-13,3
339.012-2-103,3
357.000-1-6,3
180.77-1-10,3
114.67-1-23,3
468.-12-35.200,3
115.53-4-84,3
330.017-1-66,3
122.000-1-18,3
154.18-2-20,3
328.015-1-19,3
26.1-1-27.300,3
279.-6-14,3
279.-3-38,3
77.6-1-28,3
112.49-1-6,3
250.14-5-1,3
154.14-5-58,3
124.000-1-50.500,3
32.246-1-1.150,3
272.74-1-12,3
154.10-1-22.1,3
68.003-2-17.1,3
250.6-1-2,3
166.45-3-46,3
329.013-1-61,3
229.81-1-18,3
44.018-1-27.111,3
318.40-4-49,3
190.32-1-11,3
193.20-1-5.3,3
154.15-1-15,3
286.11-1-12,3
25.012-3-10.116,3
154.14-6-36.2,3
199.14-1-5,3
262.53-1-46,3
268.-1-38.52,3
331.18-1-15.1,3
63.2-2-35.13,3
174.-1-2.1,3
317.20-3-2./2,3
19.000-1-5,3
64.-2-13,3
100.-2-7,3
165.76-2-7.21,3
26.2-3-30.100,3
287.000-2-2,3
150.17-1-27,3
207.14-3-73,3
154.6-7-11,3
329.013-1-65,3
330.30-3-44,3
55.013-1-29,3
221.20-2-100,3
125.1-1-26.2,3
272.73-1-2,3
272.73-1-21,3
77.-1-20,3
197.000-1-49,3
179.-1-12.6,3
154.15-2-12.1,3
130.018-2-15.111,3
272.73-1-20,3
93.-1-26,3
130.010-3-5.110,3
152.-1-35,3
262.45-1-1,3
339.012-2-77,3
247.-1-72,3
245.-1-7,3
63.8-1-3,3
190.16-1-15,3
318.43-2-33,3
219.-4-5,3
239.16-2-63,3
128.4-1-20.1,3
72.-2-27.2,3
334.000-1-49,3
98.-1-1,3
127.2-1-4.5,3
122.4-1-50.2,3
291.-1-36,3
229.81-1-15,3
190.10-4-7.1,3
166.25-1-23,3
64.1-1-42,3
61.-1-17,3
190.12-5-22,3
43.5-1-30,3
164.20-1-43,3
319.63-4-71,3
131.1-1-55,3
180.55-2-37,3
63.4-4-33,3
435.-4-11,3
190.8-4-31,3
141.-1-33,3
250.6-1-41.6,3
317.013-2-24,3
258.-1-17,3
207.8-3-1.64,3
80.-3-24.2,3
100.59-1-19,3
165.81-1-15,3
85.003-1-4,3
203.-3-11.111,3
126.-1-25.12,3
186.000-3-21.1,3
329.15-3-33,3
241.-1-6.2,3
21.041-1-41,3
325.000-2-30.1,3
97.-4-35,3
190.12-5-37,3
21.032-7-18.1,3
216.22-1-5,3
167.-5-35,3
306.8-1-41,3
192.36-2-48,3
230.39-1-60,3
329.018-6-18,3
344.000-1-62,3
330.34-4-48,3
165.73-2-77,3
42.12-1-9,3
42.10-1-44.000,3
100.50-1-1.1,3
230.6-1-88,3
334.004-1-35.3,3
269.12-1-27,3
330.9-2-11,3
221.8-4-32,3
33.14-2-14.000,3
170.-1-13.13,3
330.017-1-83,3
308.14-1-15,3
154.-2-9,3
190.7-5-14,3
105.000-1-7.3,3
328.015-1-45,3
327.003-1-36,3
114.60-1-29,3
190.8-4-1,3
189.12-2-28,3
165.13-1-76,3
329.12-4-31,3
114.60-2-80,3
190.8-4-63,3
239.-2-61.1,3
190.8-3-8,3
165.49-1-25.1,3
221.9-3-21,3
81.10-1-47,3
